UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL321114,8,160,165,147,40,186,38,8,47,24,5,23,17,0,19,12,0,14,239,208,451
UCL322001,5,20,23,59,3,57,9,0,13,19,3,26,5,0,5,5,0,4,105,25,132
UCL322002,5,61,70,38,13,51,9,0,9,10,0,10,0,0,0,0,0,0,65,75,139
UCL322003,3,28,34,33,38,75,9,0,9,7,0,10,3,0,3,0,0,0,57,71,124
UCL322004,0,68,72,83,35,115,14,4,19,9,8,13,4,0,4,3,0,5,110,115,229
UCL322005,0,43,46,25,21,43,11,4,17,8,3,12,3,0,3,0,0,3,56,74,127
UCL322006,3,70,76,45,57,101,9,7,12,0,3,0,0,0,0,0,0,0,65,134,197
UCL322007,0,49,52,43,23,65,10,3,11,7,3,14,7,0,7,0,0,0,78,81,156
UCL322008,4,14,15,26,5,31,10,0,10,7,0,13,4,0,4,4,0,4,59,20,76
UCL322009,3,78,80,41,20,61,6,0,4,8,0,12,3,0,3,0,0,0,66,101,163
UCL322010,0,76,74,73,21,96,11,4,17,5,0,5,0,3,3,0,0,0,96,105,203
UCL322011,0,40,42,74,9,84,25,4,29,19,4,23,10,0,10,6,0,6,137,52,183
UCL322012,5,57,61,62,8,69,14,0,15,7,0,11,4,0,4,3,0,3,100,66,165
UCL322013,6,31,35,49,10,54,34,3,34,27,0,30,8,0,8,8,0,8,132,40,172
UCL322014,0,62,63,31,4,36,12,0,12,7,0,7,0,0,0,6,0,6,63,64,126
UCL322015,0,42,47,58,14,74,15,5,22,12,0,18,4,0,9,3,0,4,96,60,165
UCL322016,4,41,38,34,12,48,9,4,14,11,0,9,4,0,4,0,0,0,59,54,115
UCL322017,0,15,15,11,0,10,8,0,8,6,0,6,3,0,3,11,0,11,32,13,49
UCL322018,7,58,68,101,22,124,20,4,26,6,0,6,5,0,5,3,0,0,147,86,235
UCL322019,0,60,65,72,22,91,6,0,9,4,0,4,3,0,0,0,0,0,89,87,174
UCL322020,0,42,42,15,18,35,8,0,8,8,4,9,0,0,5,7,0,7,45,69,112
UCL322021,3,26,28,37,29,67,5,5,9,0,0,3,0,0,0,0,0,0,51,62,113
UCL322022,0,42,39,19,27,50,4,0,4,0,3,6,6,0,6,5,0,4,37,75,109
UCL322023,5,33,38,96,3,98,25,0,30,11,0,10,3,0,3,3,0,3,141,42,182
UCL322024,4,49,46,85,6,94,19,0,25,28,0,28,13,0,11,3,0,3,148,62,205
UCL322025,0,25,25,11,24,30,4,3,3,8,4,10,0,0,0,5,0,9,26,52,78
UCL322026,5,38,41,21,9,37,12,3,17,4,0,3,0,0,6,5,0,4,52,60,108
