LGA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
LGA53010,3,56,90,36,41,233,47,279
LGA53080,31,162,73,20,22,306,69,372
LGA53150,124,1053,1205,375,169,2926,96,3022
LGA53220,267,917,662,223,111,2184,274,2456
LGA53290,231,1658,1960,745,525,5113,603,5720
LGA53360,72,1154,652,203,155,2241,164,2404
LGA53430,1144,5585,4743,1164,569,13204,804,14005
LGA53570,48,591,778,377,286,2082,189,2268
LGA53640,11,101,168,77,89,446,39,488
LGA53710,9,113,134,64,58,381,50,429
LGA53780,1813,13876,16718,6281,3629,42314,2059,44372
LGA53800,722,5159,5550,2035,1110,14575,1341,15910
LGA53920,450,554,168,37,23,1231,200,1430
LGA53990,249,2837,4255,1741,1033,10120,509,10626
LGA54060,70,591,549,225,123,1554,189,1746
LGA54130,9,140,162,91,61,460,42,503
LGA54170,1492,16101,25832,8984,4910,57318,1533,58848
LGA54200,614,5916,8627,3547,2441,21139,796,21938
LGA54280,517,3294,3927,1534,884,10150,1346,11495
LGA54310,291,2079,2932,1110,571,6975,1309,8287
LGA54340,109,487,496,204,147,1441,158,1602
LGA54410,30,132,141,74,63,444,52,487
LGA54480,0,43,51,35,43,174,21,200
LGA54550,35,190,255,118,134,730,79,810
LGA54620,16,120,108,48,42,335,47,381
LGA54690,3,63,53,16,25,159,8,170
LGA54760,6,60,92,44,58,265,36,303
LGA54830,786,5440,6279,1984,1014,15507,870,16373
LGA54900,15,135,194,59,90,493,47,537
LGA54970,46,112,43,23,10,235,52,287
LGA55040,58,163,109,46,13,398,147,547
LGA55110,1836,14065,12994,4223,2094,35212,1620,36833
LGA55180,185,1195,1317,549,334,3579,302,3877
LGA55250,56,168,76,20,22,348,92,444
LGA55320,1698,12897,16305,4925,2647,38475,1115,39588
LGA55390,19,45,19,11,3,100,35,138
LGA55460,69,399,419,183,102,1169,179,1351
LGA55530,5,58,59,25,27,178,64,239
LGA55600,39,285,273,130,104,831,129,963
LGA55670,12,77,82,44,25,235,51,278
LGA55740,329,1301,1288,393,213,3527,179,3702
LGA55810,13,91,45,13,18,181,138,316
LGA55880,3,63,60,27,37,187,14,205
LGA55950,5,69,81,37,35,224,33,256
LGA56090,347,3323,5369,2566,1897,13497,475,13971
LGA56160,7,32,10,3,10,66,11,72
LGA56230,172,2155,2398,1111,806,6645,431,7075
LGA56300,36,182,256,103,54,633,94,722
LGA56370,15,80,112,50,36,282,38,325
LGA56460,117,676,600,267,166,1825,194,2026
LGA56580,269,2138,3499,1122,561,7597,178,7771
LGA56620,217,122,22,4,0,368,68,436
