LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA55670,46,500,742,190,1676,0.8,1468,2.3
LGA55740,42,3000,996,300,3456,0.8,2124,2.4
LGA55810,44,542,1778,175,1375,0.8,1409,2.1
LGA55880,47,650,878,140,1802,0.7,1418,2.3
LGA55950,47,778,754,160,1875,0.8,1466,2.3
LGA56090,43,1950,797,350,2270,0.7,1900,2.6
LGA56160,46,900,911,170,1674,0.9,1656,2.6
LGA56230,44,1750,611,300,1742,0.7,1366,2.5
LGA56300,55,1404,585,260,1381,0.8,1101,2.1
LGA56370,46,758,948,150,1875,0.7,1542,2.3
LGA56460,41,1187,726,240,1802,0.7,1311,2.2
LGA56580,43,3500,1149,520,4244,0.8,3217,2.8
LGA56620,31,0,385,65,878,1.2,1370,3.5
LGA56730,43,1387,647,250,1631,0.7,1323,2.4
LGA56790,57,1300,640,259,1450,0.7,1223,2.2
LGA56860,49,1042,656,88,1268,0.7,1100,2.1
LGA56930,41,4167,1440,440,5012,0.7,4560,2.7
LGA57000,42,780,1752,170,2018,0.7,1587,2.3
LGA57080,34,1911,1034,405,2480,1,1911,1.8
LGA57140,51,867,577,200,1340,0.7,988,2.2
LGA57210,48,1274,623,225,1491,0.8,1178,2.3
LGA57280,35,1517,1589,240,3264,0.9,2693,2.7
LGA57350,53,800,621,130,1445,0.7,1134,2.2
LGA57420,42,1000,1285,245,2019,0.7,1713,2.2
LGA57490,36,1733,767,330,2077,0.7,1718,2.6
LGA57630,54,902,643,144,1833,0.6,1078,1.5
LGA57700,33,1976,884,380,2242,0.8,2095,3
LGA57770,56,1374,806,270,1818,0.8,1330,2.1
LGA57840,39,2200,993,360,2761,0.8,1997,2.2
LGA57910,38,1966,898,340,2332,0.8,1781,2.4
LGA57980,40,2500,1191,410,3242,0.9,2139,2.1
LGA58050,35,1842,822,340,2109,0.8,1833,2.8
LGA58190,48,661,705,162,1583,0.8,1181,2.5
LGA58260,44,650,779,138,1696,0.8,1321,2.3
